"tamCacheL1=131072|AssocL1=16|tamBlocoL1=64","Total","Instrn","Data","Read","Write","Misc"
"  Fraction of total","      1.0000","      0.0005","      0.9995","      0.4707","      0.5289","      0.0000
"
" Demand Misses","   154034452","      118633","   153915819","   153907174","        8645","           0
"
"  Demand miss rate","      0.4679","      0.7797","      0.4678","      0.9933","      0.0000","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","    24881315","           0","           0
"
"   Capacity misses","   128943796","      108198","   128835598","   128835199","         399","           0
"
"   Conflict misses","      206426","        7520","      198906","      190660","        8246","           0
"
"   Compulsory fraction","      0.1615","      0.0246","      0.1617","      0.1617","      0.0000","      0.0000
"
"   Capacity fraction","      0.8371","      0.9120","      0.8371","      0.8371","      0.0462","      0.0000
"
"   Conflict fraction","      0.0013","      0.0634","      0.0013","      0.0012","      0.9538","      0.0000
"
""
"tamCacheL1=4096|AssocL1=4|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   290194224","   131525552","   158668672","   120433242","    38235430","           0
"
"  Demand miss rate","      0.1026","      0.0658","      0.1918","      0.1843","      0.2196","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","         508","    12440245","           0
"
"   Capacity misses","   247114422","   110753206","   136361216","   114123665","    22237551","           0
"
"   Conflict misses","    30637470","    20770767","     9866703","     6309069","     3557634","           0
"
"   Compulsory fraction","      0.0429","      0.0000","      0.0784","      0.0000","      0.3254","      0.0000
"
"   Capacity fraction","      0.8515","      0.8421","      0.8594","      0.9476","      0.5816","      0.0000
"
"   Conflict fraction","      0.1056","      0.1579","      0.0622","      0.0524","      0.0930","      0.0000
"
"tamCacheL2=262144|AssocL2=4|tamBlocoL2=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   464283746","   131525552","   332758194","   158668672","   174089522","           0
"
"  Fraction of total","      1.0000","      0.2833","      0.7167","      0.3417","      0.3750","      0.0000
"
" Demand Misses","   116622315","       62162","   116560153","   116560150","           3","           0
"
"  Demand miss rate","      0.2512","      0.0005","      0.3503","      0.7346","      0.0000","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","    12440753","           0","           0
"
"   Capacity misses","   104007473","       59570","   103947903","   103947900","           3","           0
"
"   Conflict misses","      172510","        1013","      171497","      171497","           0","           0
"
"   Compulsory fraction","      0.1067","      0.0254","      0.1067","      0.1067","      0.0000","      0.0000
"
"   Capacity fraction","      0.8918","      0.9583","      0.8918","      0.8918","      1.0000","      0.0000
"
"   Conflict fraction","      0.0015","      0.0163","      0.0015","      0.0015","      0.0000","      0.0000
"
""
"tamCacheL1=131072|AssocL1=1|tamBlocoL1=64","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","    71133302","     2060777","    69072525","    59944725","     9127800","           0
"
"  Demand miss rate","      0.0252","      0.0010","      0.0835","      0.0918","      0.0524","      0.0000
"
"   Compulsory misses","     3110830","         547","     3110283","         198","     3110085","           0
"
"   Capacity misses","    61434715","       19861","    61414854","    55655376","     5759478","           0
"
"   Conflict misses","     6587757","     2040369","     4547388","     4289151","      258237","           0
"
"   Compulsory fraction","      0.0437","      0.0003","      0.0450","      0.0000","      0.3407","      0.0000
"
"   Capacity fraction","      0.8637","      0.0096","      0.8891","      0.9284","      0.6310","      0.0000
"
"   Conflict fraction","      0.0926","      0.9901","      0.0658","      0.0716","      0.0283","      0.0000
"
"tamCacheL2=262144|AssocL2=1|tamBlocoL2=64","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   245222822","     2060777","   243162045","    69072525","   174089520","           0
"
"  Fraction of total","      1.0000","      0.0084","      0.9916","      0.2817","      0.7099","      0.0000
"
" Demand Misses","    68617538","     1447900","    67169638","    67169638","           0","           0
"
"  Demand miss rate","      0.2798","      0.7026","      0.2762","      0.9725","      0.0000","      0.0000
"
"   Compulsory misses","     3110830","         547","     3110283","     3110283","           0","           0
"
"   Capacity misses","    61073892","       25021","    61048871","    61048871","           0","           0
"
"   Conflict misses","     4432816","     1422332","     3010484","     3010484","           0","           0
"
"   Compulsory fraction","      0.0453","      0.0004","      0.0463","      0.0463","      0.0000","      0.0000
"
"   Capacity fraction","      0.8901","      0.0173","      0.9089","      0.9089","      0.0000","      0.0000
"
"   Conflict fraction","      0.0646","      0.9823","      0.0448","      0.0448","      0.0000","      0.0000
"
""
"tamCacheL1=16384|AssocL1=8|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   127773672","     1224449","   126549223","    97561628","    28987595","           0
"
"  Demand miss rate","      0.0452","      0.0006","      0.1529","      0.1493","      0.1665","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","         508","    12440245","           0
"
"   Capacity misses","   114653312","      864909","   113788403","    97368222","    16420181","           0
"
"   Conflict misses","      678028","      357961","      320067","      192898","      127169","           0
"
"   Compulsory fraction","      0.0974","      0.0013","      0.0983","      0.0000","      0.4292","      0.0000
"
"   Capacity fraction","      0.8973","      0.7064","      0.8992","      0.9980","      0.5665","      0.0000
"
"   Conflict fraction","      0.0053","      0.2923","      0.0025","      0.0020","      0.0044","      0.0000
"
"tamCacheL2=262144|AssocL2=8|tamBlocoL2=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   301863194","     1224449","   300638745","   126549223","   174089522","           0
"
"  Fraction of total","      1.0000","      0.0041","      0.9959","      0.4192","      0.5767","      0.0000
"
" Demand Misses","   116558644","       61841","   116496803","   116496800","           3","           0
"
"  Demand miss rate","      0.3861","      0.0505","      0.3875","      0.9206","      0.0000","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","    12440753","           0","           0
"
"   Capacity misses","   104026025","       59859","   103966166","   103966163","           3","           0
"
"   Conflict misses","       90287","         403","       89884","       89884","           0","           0
"
"   Compulsory fraction","      0.1067","      0.0255","      0.1068","      0.1068","      0.0000","      0.0000
"
"   Capacity fraction","      0.8925","      0.9680","      0.8924","      0.8924","      1.0000","      0.0000
"
"   Conflict fraction","      0.0008","      0.0065","      0.0008","      0.0008","      0.0000","      0.0000
"
""
"tamCacheL1=16384|AssocL1=16|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   127457187","      896145","   126561042","    97569053","    28991989","           0
"
"  Demand miss rate","      0.0451","      0.0004","      0.1530","      0.1493","      0.1665","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","         508","    12440245","           0
"
"   Capacity misses","   114757865","      878661","   113879204","    97429483","    16449721","           0
"
"   Conflict misses","      256990","       15905","      241085","      139062","      102023","           0
"
"   Compulsory fraction","      0.0976","      0.0018","      0.0983","      0.0000","      0.4291","      0.0000
"
"   Capacity fraction","      0.9004","      0.9805","      0.8998","      0.9986","      0.5674","      0.0000
"
"   Conflict fraction","      0.0020","      0.0177","      0.0019","      0.0014","      0.0035","      0.0000
"
"tamCacheL2=262144|AssocL2=16|tamBlocoL2=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   301546709","      896145","   300650564","   126561042","   174089522","           0
"
"  Fraction of total","      1.0000","      0.0030","      0.9970","      0.4197","      0.5773","      0.0000
"
" Demand Misses","   116548642","       61423","   116487219","   116487216","           3","           0
"
"  Demand miss rate","      0.3865","      0.0685","      0.3875","      0.9204","      0.0000","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","    12440753","           0","           0
"
"   Capacity misses","   104032821","       59629","   103973192","   103973189","           3","           0
"
"   Conflict misses","       73489","         215","       73274","       73274","           0","           0
"
"   Compulsory fraction","      0.1068","      0.0257","      0.1068","      0.1068","      0.0000","      0.0000
"
"   Capacity fraction","      0.8926","      0.9708","      0.8926","      0.8926","      1.0000","      0.0000
"
"   Conflict fraction","      0.0006","      0.0035","      0.0006","      0.0006","      0.0000","      0.0000
"
""
"tamCacheL1=16384|AssocL1=4|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   104889728","     6536005","    98353723","    79727348","    18626375","           0
"
"  Demand miss rate","      0.0371","      0.0033","      0.1189","      0.1221","      0.1070","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","    92173270","      545508","    91627762","    79343105","    12284657","           0
"
"   Conflict misses","     6495081","     5989577","      505504","      383928","      121576","           0
"
"   Compulsory fraction","      0.0593","      0.0001","      0.0632","      0.0000","      0.3339","      0.0000
"
"   Capacity fraction","      0.8788","      0.0835","      0.9316","      0.9952","      0.6595","      0.0000
"
"   Conflict fraction","      0.0619","      0.9164","      0.0051","      0.0048","      0.0065","      0.0000
"
"tamCacheL2=262144|AssocL2=4|tamBlocoL2=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   278979250","     6536005","   272443245","    98353723","   174089522","           0
"
"  Fraction of total","      1.0000","      0.0234","      0.9766","      0.3525","      0.6240","      0.0000
"
" Demand Misses","    89653484","       40664","    89612820","    89612817","           3","           0
"
"  Demand miss rate","      0.3214","      0.0062","      0.3289","      0.9111","      0.0000","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","     6220457","           0","           0
"
"   Capacity misses","    83219324","       36148","    83183176","    83183173","           3","           0
"
"   Conflict misses","      212783","        3596","      209187","      209187","           0","           0
"
"   Compulsory fraction","      0.0694","      0.0226","      0.0694","      0.0694","      0.0000","      0.0000
"
"   Capacity fraction","      0.9282","      0.8889","      0.9283","      0.9283","      1.0000","      0.0000
"
"   Conflict fraction","      0.0024","      0.0884","      0.0023","      0.0023","      0.0000","      0.0000
"
""
"tamCacheL1=16384|AssocL1=16|tamBlocoL1=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827436458","  2000000000","   827436458","   653346930","   174089528","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   165026977","     1035153","   163991824","   120950559","    43041265","           0
"
"  Demand miss rate","      0.0584","      0.0005","      0.1982","      0.1851","      0.2472","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","         862","    24880453","           0
"
"   Capacity misses","   139636101","     1018442","   138617659","   120563771","    18053888","           0
"
"   Conflict misses","      506646","       13796","      492850","      385926","      106924","           0
"
"   Compulsory fraction","      0.1508","      0.0028","      0.1517","      0.0000","      0.5781","      0.0000
"
"   Capacity fraction","      0.8461","      0.9839","      0.8453","      0.9968","      0.4195","      0.0000
"
"   Conflict fraction","      0.0031","      0.0133","      0.0030","      0.0032","      0.0025","      0.0000
"
"tamCacheL2=262144|AssocL2=16|tamBlocoL2=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   339116505","     1035153","   338081352","   163991824","   174089528","           0
"
"  Fraction of total","      1.0000","      0.0031","      0.9969","      0.4836","      0.5134","      0.0000
"
" Demand Misses","   153913125","      111445","   153801680","   153801676","           4","           0
"
"  Demand miss rate","      0.4539","      0.1077","      0.4549","      0.9379","      0.0000","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","    24881315","           0","           0
"
"   Capacity misses","   128965127","      108098","   128857029","   128857025","           4","           0
"
"   Conflict misses","       63768","         432","       63336","       63336","           0","           0
"
"   Compulsory fraction","      0.1617","      0.0262","      0.1618","      0.1618","      0.0000","      0.0000
"
"   Capacity fraction","      0.8379","      0.9700","      0.8378","      0.8378","      1.0000","      0.0000
"
"   Conflict fraction","      0.0004","      0.0039","      0.0004","      0.0004","      0.0000","      0.0000
"
""
"tamCacheL1=4096|AssocL1=16|tamBlocoL1=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   146682294","    59264243","    87418051","    78118876","     9299175","           0
"
"  Demand miss rate","      0.0519","      0.0296","      0.1057","      0.1196","      0.0534","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","         124","     1555056","           0
"
"   Capacity misses","   140135299","    57175692","    82959607","    75840825","     7118782","           0
"
"   Conflict misses","     4991483","     2088219","     2903264","     2277927","      625337","           0
"
"   Compulsory fraction","      0.0106","      0.0000","      0.0178","      0.0000","      0.1672","      0.0000
"
"   Capacity fraction","      0.9554","      0.9648","      0.9490","      0.9708","      0.7655","      0.0000
"
"   Conflict fraction","      0.0340","      0.0352","      0.0332","      0.0292","      0.0672","      0.0000
"
"tamCacheL2=262144|AssocL2=16|tamBlocoL2=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   320771814","    59264243","   261507571","    87418051","   174089520","           0
"
"  Fraction of total","      1.0000","      0.1848","      0.8152","      0.2725","      0.5427","      0.0000
"
" Demand Misses","    41700934","       12802","    41688132","    41688129","           3","           0
"
"  Demand miss rate","      0.1300","      0.0002","      0.1594","      0.4769","      0.0000","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","     1555180","           0","           0
"
"   Capacity misses","    40019664","       10579","    40009085","    40009082","           3","           0
"
"   Conflict misses","      125758","        1891","      123867","      123867","           0","           0
"
"   Compulsory fraction","      0.0373","      0.0259","      0.0373","      0.0373","      0.0000","      0.0000
"
"   Capacity fraction","      0.9597","      0.8264","      0.9597","      0.9597","      1.0000","      0.0000
"
"   Conflict fraction","      0.0030","      0.1477","      0.0030","      0.0030","      0.0000","      0.0000
"
""
"tamCacheL1=131072|AssocL1=2|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   117734497","      135496","   117599001","    89640883","    27958118","           0
"
"  Demand miss rate","      0.0416","      0.0001","      0.1421","      0.1372","      0.1606","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","         508","    12440245","           0
"
"   Capacity misses","   104266156","       60046","   104206110","    88760891","    15445219","           0
"
"   Conflict misses","     1026009","       73871","      952138","      879484","       72654","           0
"
"   Compulsory fraction","      0.1057","      0.0117","      0.1058","      0.0000","      0.4450","      0.0000
"
"   Capacity fraction","      0.8856","      0.4432","      0.8861","      0.9902","      0.5524","      0.0000
"
"   Conflict fraction","      0.0087","      0.5452","      0.0081","      0.0098","      0.0026","      0.0000
"
"tamCacheL2=262144|AssocL2=2|tamBlocoL2=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   291824019","      135496","   291688523","   117599001","   174089522","           0
"
"  Fraction of total","      1.0000","      0.0005","      0.9995","      0.4030","      0.5966","      0.0000
"
" Demand Misses","   116919940","       82819","   116837121","   116824068","       13053","           0
"
"  Demand miss rate","      0.4007","      0.6112","      0.4006","      0.9934","      0.0001","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","    12440753","           0","           0
"
"   Capacity misses","   104048559","       63240","   103985319","   103982880","        2439","           0
"
"   Conflict misses","      429049","       18000","      411049","      400435","       10614","           0
"
"   Compulsory fraction","      0.1064","      0.0191","      0.1065","      0.1065","      0.0000","      0.0000
"
"   Capacity fraction","      0.8899","      0.7636","      0.8900","      0.8901","      0.1869","      0.0000
"
"   Conflict fraction","      0.0037","      0.2173","      0.0035","      0.0034","      0.8131","      0.0000
"
""
"tamCacheL1=16384|AssocL1=16|tamBlocoL1=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","    54803806","     4644877","    50158929","    45042810","     5116119","           0
"
"  Demand miss rate","      0.0194","      0.0023","      0.0606","      0.0690","      0.0294","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","         124","     1555056","           0
"
"   Capacity misses","    47649601","      333355","    47316246","    43837884","     3478362","           0
"
"   Conflict misses","     5598693","     4311190","     1287503","     1204802","       82701","           0
"
"   Compulsory fraction","      0.0284","      0.0001","      0.0310","      0.0000","      0.3040","      0.0000
"
"   Capacity fraction","      0.8695","      0.0718","      0.9433","      0.9732","      0.6799","      0.0000
"
"   Conflict fraction","      0.1022","      0.9282","      0.0257","      0.0267","      0.0162","      0.0000
"
"tamCacheL2=262144|AssocL2=16|tamBlocoL2=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   228893326","     4644877","   224248449","    50158929","   174089520","           0
"
"  Fraction of total","      1.0000","      0.0203","      0.9797","      0.2191","      0.7606","      0.0000
"
" Demand Misses","    41699652","       12811","    41686841","    41686838","           3","           0
"
"  Demand miss rate","      0.1822","      0.0028","      0.1859","      0.8311","      0.0000","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","     1555180","           0","           0
"
"   Capacity misses","    40019418","       10738","    40008680","    40008677","           3","           0
"
"   Conflict misses","      124722","        1741","      122981","      122981","           0","           0
"
"   Compulsory fraction","      0.0373","      0.0259","      0.0373","      0.0373","      0.0000","      0.0000
"
"   Capacity fraction","      0.9597","      0.8382","      0.9597","      0.9597","      1.0000","      0.0000
"
"   Conflict fraction","      0.0030","      0.1359","      0.0030","      0.0030","      0.0000","      0.0000
"
""
"tamCacheL1=16384|AssocL1=4|tamBlocoL1=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827436458","  2000000000","   827436458","   653346930","   174089528","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   177148115","    12384964","   164763151","   121565873","    43197278","           0
"
"  Demand miss rate","      0.0627","      0.0062","      0.1991","      0.1861","      0.2481","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","         862","    24880453","           0
"
"   Capacity misses","   140314673","     1113484","   139201189","   121052631","    18148558","           0
"
"   Conflict misses","    11949212","    11268565","      680647","      512380","      168267","           0
"
"   Compulsory fraction","      0.1405","      0.0002","      0.1510","      0.0000","      0.5760","      0.0000
"
"   Capacity fraction","      0.7921","      0.0899","      0.8449","      0.9958","      0.4201","      0.0000
"
"   Conflict fraction","      0.0675","      0.9099","      0.0041","      0.0042","      0.0039","      0.0000
"
"tamCacheL2=262144|AssocL2=4|tamBlocoL2=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   351237643","    12384964","   338852679","   164763151","   174089528","           0
"
"  Fraction of total","      1.0000","      0.0353","      0.9647","      0.4691","      0.4956","      0.0000
"
" Demand Misses","   153972293","      116113","   153856180","   153856172","           8","           0
"
"  Demand miss rate","      0.4384","      0.0094","      0.4541","      0.9338","      0.0000","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","    24881315","           0","           0
"
"   Capacity misses","   128945321","      110178","   128835143","   128835140","           3","           0
"
"   Conflict misses","      142742","        3020","      139722","      139717","           5","           0
"
"   Compulsory fraction","      0.1616","      0.0251","      0.1617","      0.1617","      0.0000","      0.0000
"
"   Capacity fraction","      0.8375","      0.9489","      0.8374","      0.8374","      0.3750","      0.0000
"
"   Conflict fraction","      0.0009","      0.0260","      0.0009","      0.0009","      0.6250","      0.0000
"
""
"tamCacheL1=16384|AssocL1=1|tamBlocoL1=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827436458","  2000000000","   827436458","   653346930","   174089528","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   256755331","    63652142","   193103189","   135265668","    57837521","           0
"
"  Demand miss rate","      0.0908","      0.0318","      0.2334","      0.2070","      0.3322","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","         862","    24880453","           0
"
"   Capacity misses","   140841897","     1123763","   139718134","   121520851","    18197283","           0
"
"   Conflict misses","    91029204","    62525464","    28503740","    13743955","    14759785","           0
"
"   Compulsory fraction","      0.0969","      0.0000","      0.1288","      0.0000","      0.4302","      0.0000
"
"   Capacity fraction","      0.5485","      0.0177","      0.7235","      0.8984","      0.3146","      0.0000
"
"   Conflict fraction","      0.3545","      0.9823","      0.1476","      0.1016","      0.2552","      0.0000
"
"tamCacheL2=262144|AssocL2=1|tamBlocoL2=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   430844859","    63652142","   367192717","   193103189","   174089528","           0
"
"  Fraction of total","      1.0000","      0.1477","      0.8523","      0.4482","      0.4041","      0.0000
"
" Demand Misses","   155741034","      359316","   155381718","   155381718","           0","           0
"
"  Demand miss rate","      0.3615","      0.0056","      0.4232","      0.8047","      0.0000","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","    24881315","           0","           0
"
"   Capacity misses","   129045691","      107305","   128938386","   128938386","           0","           0
"
"   Conflict misses","     1811113","      249096","     1562017","     1562017","           0","           0
"
"   Compulsory fraction","      0.1598","      0.0081","      0.1601","      0.1601","      0.0000","      0.0000
"
"   Capacity fraction","      0.8286","      0.2986","      0.8298","      0.8298","      0.0000","      0.0000
"
"   Conflict fraction","      0.0116","      0.6933","      0.0101","      0.0101","      0.0000","      0.0000
"
""
"tamCacheL1=65536|AssocL1=2|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   120022610","      343224","   119679386","    91560398","    28118988","           0
"
"  Demand miss rate","      0.0424","      0.0002","      0.1446","      0.1401","      0.1615","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","         508","    12440245","           0
"
"   Capacity misses","   104658203","       61944","   104596259","    89143190","    15453069","           0
"
"   Conflict misses","     2922075","      279701","     2642374","     2416700","      225674","           0
"
"   Compulsory fraction","      0.1037","      0.0046","      0.1040","      0.0000","      0.4424","      0.0000
"
"   Capacity fraction","      0.8720","      0.1805","      0.8740","      0.9736","      0.5496","      0.0000
"
"   Conflict fraction","      0.0243","      0.8149","      0.0221","      0.0264","      0.0080","      0.0000
"
"tamCacheL2=262144|AssocL2=2|tamBlocoL2=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   294112132","      343224","   293768908","   119679386","   174089522","           0
"
"  Fraction of total","      1.0000","      0.0012","      0.9988","      0.4069","      0.5919","      0.0000
"
" Demand Misses","   116949156","       89943","   116859213","   116851198","        8015","           0
"
"  Demand miss rate","      0.3976","      0.2621","      0.3978","      0.9764","      0.0000","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","    12440753","           0","           0
"
"   Capacity misses","   104031590","       62803","   103968787","   103968046","         741","           0
"
"   Conflict misses","      475234","       25561","      449673","      442399","        7274","           0
"
"   Compulsory fraction","      0.1064","      0.0176","      0.1065","      0.1065","      0.0000","      0.0000
"
"   Capacity fraction","      0.8895","      0.6983","      0.8897","      0.8897","      0.0925","      0.0000
"
"   Conflict fraction","      0.0041","      0.2842","      0.0038","      0.0038","      0.9075","      0.0000
"
""
"tamCacheL1=65536|AssocL1=1|tamBlocoL1=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827436458","  2000000000","   827436458","   653346930","   174089528","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   170792595","    11803698","   158988897","   116843702","    42145195","           0
"
"  Demand miss rate","      0.0604","      0.0059","      0.1921","      0.1788","      0.2421","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","         862","    24880453","           0
"
"   Capacity misses","   129462786","      111266","   129351520","   112866162","    16485358","           0
"
"   Conflict misses","    16445579","    11689517","     4756062","     3976678","      779384","           0
"
"   Compulsory fraction","      0.1457","      0.0002","      0.1565","      0.0000","      0.5904","      0.0000
"
"   Capacity fraction","      0.7580","      0.0094","      0.8136","      0.9660","      0.3912","      0.0000
"
"   Conflict fraction","      0.0963","      0.9903","      0.0299","      0.0340","      0.0185","      0.0000
"
"tamCacheL2=262144|AssocL2=1|tamBlocoL2=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   344882123","    11803698","   333078425","   158988897","   174089528","           0
"
"  Fraction of total","      1.0000","      0.0342","      0.9658","      0.4610","      0.5048","      0.0000
"
" Demand Misses","   155741034","      359316","   155381718","   155381718","           0","           0
"
"  Demand miss rate","      0.4516","      0.0304","      0.4665","      0.9773","      0.0000","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","    24881315","           0","           0
"
"   Capacity misses","   129046924","      107806","   128939118","   128939118","           0","           0
"
"   Conflict misses","     1809880","      248595","     1561285","     1561285","           0","           0
"
"   Compulsory fraction","      0.1598","      0.0081","      0.1601","      0.1601","      0.0000","      0.0000
"
"   Capacity fraction","      0.8286","      0.3000","      0.8298","      0.8298","      0.0000","      0.0000
"
"   Conflict fraction","      0.0116","      0.6919","      0.0100","      0.0100","      0.0000","      0.0000
"
""
"tamCacheL1=16384|AssocL1=8|tamBlocoL1=64","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","    74568308","     3023714","    71544594","    61971726","     9572868","           0
"
"  Demand miss rate","      0.0264","      0.0015","      0.0865","      0.0949","      0.0550","      0.0000
"
"   Compulsory misses","     3110830","         547","     3110283","         198","     3110085","           0
"
"   Capacity misses","    68002325","      316680","    67685645","    61298550","     6387095","           0
"
"   Conflict misses","     3455153","     2706487","      748666","      672978","       75688","           0
"
"   Compulsory fraction","      0.0417","      0.0002","      0.0435","      0.0000","      0.3249","      0.0000
"
"   Capacity fraction","      0.9119","      0.1047","      0.9461","      0.9891","      0.6672","      0.0000
"
"   Conflict fraction","      0.0463","      0.8951","      0.0105","      0.0109","      0.0079","      0.0000
"
"tamCacheL2=262144|AssocL2=8|tamBlocoL2=64","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   248657828","     3023714","   245634114","    71544594","   174089520","           0
"
"  Fraction of total","      1.0000","      0.0122","      0.9878","      0.2877","      0.7001","      0.0000
"
" Demand Misses","    64351632","       21011","    64330621","    64330618","           3","           0
"
"  Demand miss rate","      0.2588","      0.0069","      0.2619","      0.8992","      0.0000","      0.0000
"
"   Compulsory misses","     3110830","         547","     3110283","     3110283","           0","           0
"
"   Capacity misses","    61130348","       20026","    61110322","    61110319","           3","           0
"
"   Conflict misses","      110454","         438","      110016","      110016","           0","           0
"
"   Compulsory fraction","      0.0483","      0.0260","      0.0483","      0.0483","      0.0000","      0.0000
"
"   Capacity fraction","      0.9499","      0.9531","      0.9499","      0.9499","      1.0000","      0.0000
"
"   Conflict fraction","      0.0017","      0.0208","      0.0017","      0.0017","      0.0000","      0.0000
"
""
"tamCacheL1=1024|AssocL1=16|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
